Feature,Consortium_Early_R1,Consortium_Early_R2,Consortium_Early_R3,Consortium_Late_R1,Consortium_Late_R2,Consortium_Late_R3,HGF2_Early_R1,HGF2_Early_R2,HGF2_Early_R3,HGF2_Late_R1,HGF2_Late_R2,HGF2_Late_R13
RCHGF004129,1,0,1,0,0,0,222,234,99,103,159,116
RCHGF004130,1,7,4,0,0,0,305,403,219,237,310,256
RCHGF004131,0,0,2,0,0,0,197,272,148,239,209,162
RCHGF004132,0,0,3,0,2,1,263,314,168,203,169,152
RCHGF004133,5,4,0,0,0,0,257,262,148,109,87,110
RCHGF004134,1,0,2,0,0,0,198,253,178,90,63,59
RCHGF004135,0,2,0,0,0,0,118,185,111,55,45,17
RCHGF004136,0,0,0,0,0,0,29,36,22,22,12,10
RCHGF004137,1,0,5,0,0,0,235,244,189,2202,2325,1788
RCHGF004138,3,4,14,4,1,3,1201,1000,999,1876,1541,1401
RCHGF004139,0,3,3,0,0,0,374,370,400,218,240,180
RCHGF004140,10,18,14,5,3,1,1600,1763,1512,561,558,598
RCHGF004141,0,1,12,4,1,1,832,981,689,170,141,147
RCHGF004142,1,0,0,0,0,0,645,628,834,188,217,170
RCHGF004143,0,0,0,0,2,0,142,213,92,87,106,99
RCHGF004144,1,2,0,1,0,0,111,120,86,69,45,66
RCHGF004145,2,1,5,0,0,0,130,103,106,89,43,41
RCHGF004146,1,1,0,2,0,0,55,56,52,28,19,21
RCHGF004147,2,0,0,0,0,0,47,52,30,12,14,11
RCHGF004148,3,2,3,3,2,1,750,740,517,191,153,135
RCHGF004149,2,3,0,3,0,0,85,123,83,54,36,25
RCHGF004150,2,2,0,0,0,0,96,81,77,35,21,20
RCHGF004151,2,1,1,4,0,0,88,121,129,80,36,28
RCHGF004152,6,2,1,0,0,0,94,92,42,101,59,62
RCHGF004153,0,0,0,0,0,0,8,33,12,14,11,22
RCHGF004154,0,0,0,0,0,0,1,1,0,1,4,3
RCHGF004155,0,2,0,0,0,0,6,9,8,33,19,16
RCHGF004156,5,0,0,0,0,0,92,134,99,84,67,37
RCHGF004157,2,0,0,0,0,0,203,207,173,153,152,101
RCHGF004158,2,1,0,1,0,0,200,211,190,171,200,184
RCHGF004159,6,7,14,5,2,1,1942,1953,1953,995,1240,1109
RCHGF004160,5,4,1,1,3,0,1671,1951,1310,993,990,872
RCHGF004161,5,15,2,0,0,3,403,368,301,461,564,436
RCHGF004162,3,5,16,2,2,1,938,972,777,1559,1638,1560
RCHGF004163,8,3,0,3,0,0,208,264,240,467,607,534
RCHGF004164,1,6,6,2,1,4,546,668,401,3344,3856,3368
RCHGF004165,5,8,3,3,0,3,746,647,721,316,426,372
RCHGF004166,0,1,0,0,0,0,401,326,489,192,272,216
RCHGF004167,1,1,0,0,0,1,921,759,766,319,297,205
RCHGF004168,3,1,3,0,0,3,2038,1754,1689,818,783,599
RCHGF004169,13,6,18,3,2,5,1727,2142,1176,3147,2782,2280
RCHGF004170,0,2,0,0,0,0,120,139,90,47,33,31
RCHGF004171,2,2,0,0,0,0,83,126,64,63,26,24
RCHGF004172,0,0,0,0,1,0,13,14,16,13,2,5
RCHGF004173,0,3,4,0,3,0,393,499,221,427,253,258
RCHGF004174,2,3,0,2,0,0,197,231,118,81,48,56
RCHGF004175,3,0,0,2,1,0,157,150,117,61,47,48
RCHGF004176,6,1,1,3,0,2,434,426,234,211,149,110
RCHGF004177,1,1,2,0,0,2,119,127,79,57,37,35
RCHGF004178,0,0,0,0,0,0,84,78,73,49,35,28
RCHGF004179,1,2,0,2,0,1,599,559,661,271,269,222
RCHGF004180,1,5,2,0,0,0,390,429,297,161,161,132
RCHGF004181,6,5,2,0,0,0,1219,1154,821,436,340,301
RCHGF004182,4,0,1,0,0,0,153,208,91,57,79,49
RCHGF004183,2,7,3,1,0,0,483,612,314,307,262,233
RCHGF004184,0,1,0,0,0,0,8,12,11,10,7,3
RCHGF004185,5,8,9,1,1,1,914,896,426,7437,5241,5168
RCHGF004186,4,9,3,1,1,0,1529,1552,930,938,1014,800
RCHGF004187,11,6,7,2,1,1,2426,3313,1708,1691,1929,1605
RCHGF004188,5,3,4,0,5,1,1184,1471,963,868,887,826
RCHGF004189,1,4,2,0,1,1,1543,1234,956,688,848,718
RCHGF004190,0,5,1,3,0,2,315,373,188,213,146,177
RCHGF004191,2,4,0,6,0,3,631,566,617,325,224,194
RCHGF004192,4,8,1,0,1,0,763,909,734,285,304,278
RCHGF004193,1,3,0,0,0,0,532,601,693,227,161,142
RCHGF004194,0,1,1,0,0,0,467,435,466,251,268,180
RCHGF004195,6,9,1,1,2,1,709,789,541,475,405,334
RCHGF004196,6,6,4,0,1,0,918,924,599,501,652,454
RCHGF004197,0,0,0,0,0,0,26,29,10,14,24,16
RCHGF004198,9,8,9,3,0,1,2203,2272,1273,1376,1571,1201
RCHGF004199,1,1,0,0,0,1,179,223,123,132,93,56
RCHGF004200,12,16,15,4,3,1,1233,1308,790,757,833,734
RCHGF004201,2,11,4,2,1,3,463,492,289,155,167,165
RCHGF004202,80,102,70,36,36,58,11393,9904,6908,5248,7148,6190
RCHGF004203,0,2,2,0,0,0,214,271,233,155,213,169
RCHGF004204,16,9,8,1,1,5,1901,1970,1548,993,1080,865
RCHGF004205,3,1,2,0,0,5,837,784,553,477,622,463
RCHGF004206,22,28,13,4,2,8,2839,2855,2094,1671,2068,1752
RCHGF004207,8,7,3,2,7,5,6811,6045,7177,3739,5750,4736
RCHGF004208,23,22,23,5,6,8,20881,21528,14839,15408,22205,16110
RCHGF004209,12,16,5,7,2,9,12969,14425,17716,8073,10958,9848
RCHGF004210,0,2,0,4,0,1,2881,2691,2339,2405,3056,2329
