"Feature","Consortium_Early_R1","Consortium_Early_R2","Consortium_Early_R3","Consortium_Late_R1","Consortium_Late_R2","Consortium_Late_R3","PT8_Early_R1","PT8_Early_R2","PT8_Early_R3","PT8_Late_R1","PT8_Late_R2","PT8_Late_R3"
"RVCYZ000701",5348,6999,5121,4044,3259,3505,4892,5186,2550,2947,2814,2902
"RVCYZ000702",646,773,619,566,528,400,768,973,1430,1417,1516,1564
"RVCYZ000703",2872,3317,3118,2215,1843,2136,2810,2785,10421,1374,1278,1396
"RVCYZ000704",3201,3859,3319,2125,1728,1714,2895,3513,1641,3333,3344,3144
"RVCYZ000705",944,1116,1006,713,519,429,1071,1543,330,2289,2433,2404
"RVCYZ000706",7823,10101,6882,5206,4529,4327,7524,9467,6611,9361,9695,9510
"RVCYZ000707",3763,4855,3528,3339,2944,3063,3468,4185,7066,4004,4203,4246
"RVCYZ000708",1484,1909,1311,1556,1163,1252,1261,1272,8745,1931,1600,1627
"RVCYZ000709",11075,12850,10860,8408,6919,7926,10114,9626,7841,2494,2083,2354
"RVCYZ000710",2793,3323,2532,2634,2334,2538,2898,3377,5232,3867,3884,4098
"RVCYZ000711",548,604,458,555,421,423,486,795,579,1485,1608,1567
"RVCYZ000712",863,1054,798,683,609,524,865,1225,999,1850,2121,1963
"RVCYZ000713",673,848,646,571,423,544,724,973,1289,1183,1156,1097
"RVCYZ000714",1972,2527,1587,1869,1506,1432,1694,2397,2431,4264,4369,4321
"RVCYZ000715",324,434,275,395,288,228,332,656,181,1368,1529,1516
"RVCYZ000716",2329,2906,2078,1694,1399,1194,2503,3778,1799,5891,6538,6477
"RVCYZ000717",169,189,91,131,103,98,157,269,63,669,802,767
"RVCYZ000718",1564,1805,1305,936,895,750,999,1401,4775,2415,2332,2347
"RVCYZ000719",552,616,467,392,271,320,379,408,166,417,348,399
"RVCYZ000720",2648,3352,2454,1988,1565,1607,2131,2655,492,2636,2584,2871
"RVCYZ000721",1614,1921,1588,1120,853,865,1284,1688,262,1532,1592,1688
"RVCYZ000722",670,808,612,588,500,471,569,845,294,1373,1369,1504
"RVCYZ000723",1017,1229,940,803,713,746,976,1349,621,1709,1967,1939
"RVCYZ000724",1148,1432,1117,983,768,911,857,1185,671,1540,1649,1531
"RVCYZ000725",191,290,161,213,167,127,212,291,276,629,723,701
"RVCYZ000726",165,176,124,141,94,122,169,222,185,593,615,596
"RVCYZ000727",115,161,81,99,87,70,113,207,52,605,659,595
"RVCYZ000728",329,445,245,352,244,201,436,709,323,1515,1661,1650
"RVCYZ000729",259,340,177,270,186,127,350,627,116,1221,1407,1342
"RVCYZ000730",291,327,257,277,292,188,401,627,388,1149,1180,1116
"RVCYZ000731",568,798,472,424,402,282,519,701,755,1210,1266,1096
"RVCYZ000732",11463,14228,11657,10601,9100,10326,11632,11807,14311,5403,5553,6025
"RVCYZ000733",2879,3312,3727,3082,2864,3071,2651,2914,3637,1006,982,1076
"RVCYZ000734",3072,4108,2966,2479,2086,2120,2989,3449,3040,3801,3975,3978
"RVCYZ000735",59546,82564,59074,73731,56923,59432,51577,52677,15733,18094,13006,10948
"RVCYZ000736",1058,1541,1075,929,737,805,1007,1184,1170,1054,1051,1007
"RVCYZ000737",787,1057,779,541,513,450,843,1093,779,1744,1710,1703
"RVCYZ000738",958,1059,721,977,817,647,940,1378,2067,2713,2852,2869
"RVCYZ000739",209,264,152,240,193,147,201,347,244,763,781,851
"RVCYZ000740",201,233,195,217,187,173,173,341,155,715,754,701
"RVCYZ000741",1178,1368,1144,709,581,595,1177,1498,816,1820,1778,1664
"RVCYZ000742",4151,5430,3974,3746,3130,3207,3231,4605,15278,7568,7202,7151
"RVCYZ000743",1531,1805,1220,1387,1048,899,1500,2252,1834,4115,4474,4040
"RVCYZ000744",798,1021,694,634,484,457,640,883,3081,1906,1878,1900
"RVCYZ000745",1242,1646,1184,1117,871,845,861,1158,3521,1679,1560,1535
"RVCYZ000746",1487,1817,1349,1393,1101,1118,1185,1659,3742,2243,2229,2278
"RVCYZ000747",10606,13507,10739,9420,7985,9177,9621,9734,8806,4826,4429,4576
"RVCYZ000748",1361,1687,1542,965,867,836,1249,1448,2701,1723,1501,1509
"RVCYZ000749",391,461,457,333,323,334,326,330,591,355,359,353
"RVCYZ000750",258,357,263,195,107,107,218,308,251,401,502,302
"RVCYZ000751",755,1039,628,727,570,502,778,1141,203,2157,2349,1998
"RVCYZ000752",239,274,253,178,146,144,244,370,86,519,537,461
"RVCYZ000753",489,646,456,425,338,319,516,779,300,1570,1540,1550
"RVCYZ000754",203,257,191,181,145,138,233,347,295,717,744,690
"RVCYZ000755",21229,27140,21775,21996,18618,20732,17395,17689,11679,7077,6500,6476
"RVCYZ000756",50685,67097,51910,44229,37118,42159,40269,40817,12781,13977,12482,11371
"RVCYZ000757",755,904,591,821,676,646,646,1168,882,2131,2171,2126
"RVCYZ000758",1176,1492,1048,1279,1255,1262,1061,1462,1773,2525,2353,2421
"RVCYZ000760",1685,1835,1160,979,861,700,1935,2822,4366,4902,5092,5790
"RVCYZ000761",797,1008,717,725,552,540,1112,1574,701,2439,2896,2893
"RVCYZ000762",3415,4052,2835,2847,2442,2399,3549,4477,5049,4932,5051,5676
"RVCYZ000763",1990,2519,1782,1055,777,693,1982,2305,4541,1658,1548,1737
"RVCYZ000764",451,603,373,338,292,206,645,862,1126,1657,1702,1562
"RVCYZ000765",6990,8774,6101,6069,4610,4677,5982,6633,5388,2903,2833,2978
"RVCYZ000766",8980,10925,8041,5087,4464,4622,8536,9554,6036,7022,7028,7539
"RVCYZ000767",765,1030,686,662,509,457,1096,1593,874,2747,2976,2762
"RVCYZ000768",2100,2621,1700,1863,1442,1360,2490,3476,2244,5390,6203,6233
"RVCYZ000769",10068,12988,10305,6926,6139,6336,11280,12881,8364,10846,9894,11391
"RVCYZ000770",2677,3355,2381,1787,1605,1490,2943,3394,2353,2530,3049,3045
"RVCYZ000771",2076,1452,1094,817,684,612,1412,1880,3172,4308,4011,5019
"RVCYZ000772",593,641,424,379,353,275,655,973,1080,1948,2081,2377
"RVCYZ000773",9174,10557,7799,5711,5394,5422,9812,12384,19241,21748,20230,25328
"RVCYZ000774",2490,2314,1730,1267,956,837,2025,2922,5407,4429,4463,4778
